"","Date","SUNRISE.REAL","SUNSET.REAL","SUNRISE.START","SUNSET.END"
"1","Jan 1",2015-01-01 08:32:14,2015-01-01 16:40:42,2015-01-01 09:00:00,2015-01-01 16:00:00
"2","Jan 2",2015-01-02 08:32:09,2015-01-02 16:41:44,2015-01-02 09:00:00,2015-01-02 16:00:00
"3","Jan 3",2015-01-03 08:32:00,2015-01-03 16:42:49,2015-01-03 08:45:00,2015-01-03 15:45:00
"4","Jan 4",2015-01-04 08:31:48,2015-01-04 16:43:57,2015-01-04 09:30:00,2015-01-04 16:30:00
"5","Jan 5",2015-01-05 08:31:34,2015-01-05 16:45:06,2015-01-05 09:15:00,2015-01-05 16:15:00
"6","Jan 6",2015-01-06 08:31:16,2015-01-06 16:46:18,2015-01-06 09:30:00,2015-01-06 16:30:00
"7","Jan 7",2015-01-07 08:30:55,2015-01-07 16:47:32,2015-01-07 09:00:00,2015-01-07 16:00:00
"8","Jan 8",2015-01-08 08:30:31,2015-01-08 16:48:48,2015-01-08 09:30:00,2015-01-08 16:30:00
"9","Jan 9",2015-01-09 08:30:03,2015-01-09 16:50:06,2015-01-09 08:30:00,2015-01-09 16:30:00
"10","Jan 10",2015-01-10 08:29:33,2015-01-10 16:51:26,2015-01-10 08:30:00,2015-01-10 16:30:00
"11","Jan 11",2015-01-11 08:29:00,2015-01-11 16:52:48,2015-01-11 08:30:00,2015-01-11 16:30:00
"12","Jan 12",2015-01-12 08:28:24,2015-01-12 16:54:12,2015-01-12 09:00:00,2015-01-12 16:00:00
"13","Jan 13",2015-01-13 08:27:45,2015-01-13 16:55:37,2015-01-13 08:45:00,2015-01-13 16:45:00
"14","Jan 14",2015-01-14 08:27:03,2015-01-14 16:57:04,2015-01-14 08:30:00,2015-01-14 16:30:00
"15","Jan 15",2015-01-15 08:26:18,2015-01-15 16:58:32,2015-01-15 09:00:00,2015-01-15 16:00:00
"16","Jan 16",2015-01-16 08:25:31,2015-01-16 17:00:02,2015-01-16 08:30:00,2015-01-16 16:30:00
"17","Jan 17",2015-01-17 08:24:40,2015-01-17 17:01:34,2015-01-17 09:15:00,2015-01-17 16:15:00
"18","Jan 18",2015-01-18 08:23:47,2015-01-18 17:03:06,2015-01-18 09:00:00,2015-01-18 17:00:00
"19","Jan 19",2015-01-19 08:22:51,2015-01-19 17:04:40,2015-01-19 08:30:00,2015-01-19 16:30:00
"20","Jan 20",2015-01-20 08:21:53,2015-01-20 17:06:15,2015-01-20 09:00:00,2015-01-20 17:00:00
"21","Jan 21",2015-01-21 08:20:52,2015-01-21 17:07:51,2015-01-21 08:45:00,2015-01-21 16:45:00
"22","Jan 22",2015-01-22 08:19:49,2015-01-22 17:09:28,2015-01-22 09:00:00,2015-01-22 17:00:00
"23","Jan 23",2015-01-23 08:18:43,2015-01-23 17:11:06,2015-01-23 08:45:00,2015-01-23 16:45:00
"24","Jan 24",2015-01-24 08:17:35,2015-01-24 17:12:45,2015-01-24 08:45:00,2015-01-24 16:45:00
"25","Jan 25",2015-01-25 08:16:24,2015-01-25 17:14:25,2015-01-25 09:00:00,2015-01-25 17:00:00
"26","Jan 26",2015-01-26 08:15:11,2015-01-26 17:16:05,2015-01-26 08:45:00,2015-01-26 16:45:00
"27","Jan 27",2015-01-27 08:13:56,2015-01-27 17:17:46,2015-01-27 08:30:00,2015-01-27 16:30:00
"28","Jan 28",2015-01-28 08:12:38,2015-01-28 17:19:27,2015-01-28 08:15:00,2015-01-28 17:15:00
"29","Jan 29",2015-01-29 08:11:18,2015-01-29 17:21:10,2015-01-29 08:45:00,2015-01-29 16:45:00
"30","Jan 30",2015-01-30 08:09:57,2015-01-30 17:22:52,2015-01-30 08:30:00,2015-01-30 16:30:00
"31","Jan 31",2015-01-31 08:08:33,2015-01-31 17:24:35,2015-01-31 08:15:00,2015-01-31 17:15:00
"32","Feb 1",2015-02-01 08:07:07,2015-02-01 17:26:18,2015-02-01 08:30:00,2015-02-01 16:30:00
"33","Feb 2",2015-02-02 08:05:39,2015-02-02 17:28:02,2015-02-02 08:30:00,2015-02-02 16:30:00
"34","Feb 3",2015-02-03 08:04:09,2015-02-03 17:29:46,2015-02-03 08:30:00,2015-02-03 16:30:00
"35","Feb 4",2015-02-04 08:02:38,2015-02-04 17:31:30,2015-02-04 09:00:00,2015-02-04 17:00:00
"36","Feb 5",2015-02-05 08:01:04,2015-02-05 17:33:14,2015-02-05 09:00:00,2015-02-05 17:00:00
"37","Feb 6",2015-02-06 07:59:29,2015-02-06 17:34:59,2015-02-06 08:45:00,2015-02-06 16:45:00
"38","Feb 7",2015-02-07 07:57:52,2015-02-07 17:36:43,2015-02-07 08:45:00,2015-02-07 16:45:00
"39","Feb 8",2015-02-08 07:56:14,2015-02-08 17:38:28,2015-02-08 08:45:00,2015-02-08 16:45:00
"40","Feb 9",2015-02-09 07:54:33,2015-02-09 17:40:12,2015-02-09 08:15:00,2015-02-09 17:15:00
"41","Feb 10",2015-02-10 07:52:52,2015-02-10 17:41:57,2015-02-10 08:15:00,2015-02-10 17:15:00
"42","Feb 11",2015-02-11 07:51:08,2015-02-11 17:43:41,2015-02-11 08:15:00,2015-02-11 17:15:00
"43","Feb 12",2015-02-12 07:49:23,2015-02-12 17:45:26,2015-02-12 08:45:00,2015-02-12 17:45:00
"44","Feb 13",2015-02-13 07:47:37,2015-02-13 17:47:10,2015-02-13 08:15:00,2015-02-13 17:15:00
"45","Feb 14",2015-02-14 07:45:50,2015-02-14 17:48:54,2015-02-14 08:45:00,2015-02-14 17:45:00
"46","Feb 15",2015-02-15 07:44:01,2015-02-15 17:50:38,2015-02-15 07:45:00,2015-02-15 17:45:00
"47","Feb 16",2015-02-16 07:42:10,2015-02-16 17:52:22,2015-02-16 08:00:00,2015-02-16 17:00:00
"48","Feb 17",2015-02-17 07:40:19,2015-02-17 17:54:06,2015-02-17 07:45:00,2015-02-17 17:45:00
"49","Feb 18",2015-02-18 07:38:26,2015-02-18 17:55:49,2015-02-18 07:45:00,2015-02-18 17:45:00
"50","Feb 19",2015-02-19 07:36:32,2015-02-19 17:57:32,2015-02-19 07:45:00,2015-02-19 17:45:00
"51","Feb 20",2015-02-20 07:34:37,2015-02-20 17:59:15,2015-02-20 07:45:00,2015-02-20 17:45:00
"52","Feb 21",2015-02-21 07:32:41,2015-02-21 18:00:58,2015-02-21 08:15:00,2015-02-21 17:15:00
"53","Feb 22",2015-02-22 07:30:44,2015-02-22 18:02:40,2015-02-22 08:30:00,2015-02-22 17:30:00
"54","Feb 23",2015-02-23 07:28:46,2015-02-23 18:04:23,2015-02-23 08:00:00,2015-02-23 18:00:00
"55","Feb 24",2015-02-24 07:26:47,2015-02-24 18:06:05,2015-02-24 07:45:00,2015-02-24 17:45:00
"56","Feb 25",2015-02-25 07:24:47,2015-02-25 18:07:46,2015-02-25 08:00:00,2015-02-25 18:00:00
"57","Feb 26",2015-02-26 07:22:46,2015-02-26 18:09:28,2015-02-26 08:15:00,2015-02-26 17:15:00
"58","Feb 27",2015-02-27 07:20:44,2015-02-27 18:11:09,2015-02-27 07:30:00,2015-02-27 17:30:00
"59","Feb 28",2015-02-28 07:18:42,2015-02-28 18:12:50,2015-02-28 08:00:00,2015-02-28 18:00:00
"60","Mar 1",2015-03-01 07:16:38,2015-03-01 18:14:30,2015-03-01 07:30:00,2015-03-01 17:30:00
"61","Mar 2",2015-03-02 07:14:34,2015-03-02 18:16:11,2015-03-02 08:00:00,2015-03-02 18:00:00
"62","Mar 3",2015-03-03 07:12:29,2015-03-03 18:17:51,2015-03-03 08:00:00,2015-03-03 18:00:00
"63","Mar 4",2015-03-04 07:10:24,2015-03-04 18:19:30,2015-03-04 08:00:00,2015-03-04 18:00:00
"64","Mar 5",2015-03-05 07:08:18,2015-03-05 18:21:10,2015-03-05 07:45:00,2015-03-05 17:45:00
"65","Mar 6",2015-03-06 07:06:11,2015-03-06 18:22:49,2015-03-06 07:15:00,2015-03-06 18:15:00
"66","Mar 7",2015-03-07 07:04:04,2015-03-07 18:24:28,2015-03-07 07:15:00,2015-03-07 18:15:00
"67","Mar 8",2015-03-08 08:01:57,2015-03-08 19:26:07,2015-03-08 08:15:00,2015-03-08 19:15:00
"68","Mar 9",2015-03-09 07:59:48,2015-03-09 19:27:45,2015-03-09 08:45:00,2015-03-09 18:45:00
"69","Mar 10",2015-03-10 07:57:40,2015-03-10 19:29:23,2015-03-10 08:45:00,2015-03-10 18:45:00
"70","Mar 11",2015-03-11 07:55:31,2015-03-11 19:31:01,2015-03-11 08:00:00,2015-03-11 19:00:00
"71","Mar 12",2015-03-12 07:53:21,2015-03-12 19:32:39,2015-03-12 08:00:00,2015-03-12 19:00:00
"72","Mar 13",2015-03-13 07:51:11,2015-03-13 19:34:17,2015-03-13 08:45:00,2015-03-13 18:45:00
"73","Mar 14",2015-03-14 07:49:01,2015-03-14 19:35:54,2015-03-14 08:00:00,2015-03-14 19:00:00
"74","Mar 15",2015-03-15 07:46:51,2015-03-15 19:37:31,2015-03-15 08:00:00,2015-03-15 19:00:00
"75","Mar 16",2015-03-16 07:44:40,2015-03-16 19:39:08,2015-03-16 08:30:00,2015-03-16 19:30:00
"76","Mar 17",2015-03-17 07:42:30,2015-03-17 19:40:45,2015-03-17 08:15:00,2015-03-17 19:15:00
"77","Mar 18",2015-03-18 07:40:18,2015-03-18 19:42:21,2015-03-18 08:15:00,2015-03-18 19:15:00
"78","Mar 19",2015-03-19 07:38:07,2015-03-19 19:43:58,2015-03-19 07:45:00,2015-03-19 18:45:00
"79","Mar 20",2015-03-20 07:35:56,2015-03-20 19:45:34,2015-03-20 08:00:00,2015-03-20 19:00:00
"80","Mar 21",2015-03-21 07:33:44,2015-03-21 19:47:10,2015-03-21 08:15:00,2015-03-21 19:15:00
"81","Mar 22",2015-03-22 07:31:33,2015-03-22 19:48:46,2015-03-22 07:45:00,2015-03-22 19:45:00
"82","Mar 23",2015-03-23 07:29:21,2015-03-23 19:50:22,2015-03-23 08:15:00,2015-03-23 19:15:00
"83","Mar 24",2015-03-24 07:27:10,2015-03-24 19:51:57,2015-03-24 08:00:00,2015-03-24 19:00:00
"84","Mar 25",2015-03-25 07:24:58,2015-03-25 19:53:33,2015-03-25 07:30:00,2015-03-25 19:30:00
"85","Mar 26",2015-03-26 07:22:47,2015-03-26 19:55:08,2015-03-26 08:15:00,2015-03-26 19:15:00
"86","Mar 27",2015-03-27 07:20:35,2015-03-27 19:56:44,2015-03-27 07:30:00,2015-03-27 19:30:00
"87","Mar 28",2015-03-28 07:18:24,2015-03-28 19:58:19,2015-03-28 07:45:00,2015-03-28 19:45:00
"88","Mar 29",2015-03-29 07:16:13,2015-03-29 19:59:54,2015-03-29 08:15:00,2015-03-29 19:15:00
"89","Mar 30",2015-03-30 07:14:02,2015-03-30 20:01:30,2015-03-30 08:00:00,2015-03-30 20:00:00
"90","Mar 31",2015-03-31 07:11:51,2015-03-31 20:03:05,2015-03-31 08:00:00,2015-03-31 20:00:00
"91","Apr 1",2015-04-01 07:09:41,2015-04-01 20:04:40,2015-04-01 07:45:00,2015-04-01 19:45:00
"92","Apr 2",2015-04-02 07:07:30,2015-04-02 20:06:15,2015-04-02 08:00:00,2015-04-02 20:00:00
"93","Apr 3",2015-04-03 07:05:20,2015-04-03 20:07:50,2015-04-03 07:15:00,2015-04-03 19:15:00
"94","Apr 4",2015-04-04 07:03:11,2015-04-04 20:09:25,2015-04-04 07:30:00,2015-04-04 19:30:00
"95","Apr 5",2015-04-05 07:01:01,2015-04-05 20:11:00,2015-04-05 07:45:00,2015-04-05 19:45:00
"96","Apr 6",2015-04-06 06:58:52,2015-04-06 20:12:35,2015-04-06 07:30:00,2015-04-06 19:30:00
"97","Apr 7",2015-04-07 06:56:44,2015-04-07 20:14:10,2015-04-07 07:15:00,2015-04-07 19:15:00
"98","Apr 8",2015-04-08 06:54:36,2015-04-08 20:15:45,2015-04-08 07:30:00,2015-04-08 19:30:00
"99","Apr 9",2015-04-09 06:52:28,2015-04-09 20:17:20,2015-04-09 07:45:00,2015-04-09 19:45:00
"100","Apr 10",2015-04-10 06:50:21,2015-04-10 20:18:55,2015-04-10 07:30:00,2015-04-10 19:30:00
"101","Apr 11",2015-04-11 06:48:15,2015-04-11 20:20:30,2015-04-11 07:30:00,2015-04-11 19:30:00
"102","Apr 12",2015-04-12 06:46:09,2015-04-12 20:22:05,2015-04-12 07:00:00,2015-04-12 20:00:00
"103","Apr 13",2015-04-13 06:44:04,2015-04-13 20:23:40,2015-04-13 07:00:00,2015-04-13 20:00:00
"104","Apr 14",2015-04-14 06:41:59,2015-04-14 20:25:15,2015-04-14 07:30:00,2015-04-14 19:30:00
"105","Apr 15",2015-04-15 06:39:55,2015-04-15 20:26:49,2015-04-15 07:30:00,2015-04-15 19:30:00
"106","Apr 16",2015-04-16 06:37:52,2015-04-16 20:28:24,2015-04-16 07:15:00,2015-04-16 20:15:00
