SortIt	Order	Date	Image_Name	SiteNo	SideNo	LFC	LFCC	LFCCR	DF	Pelicans	Grebes	Cormorant	Percent_Obstructed	Exposure	Image_Clarity	Water_Clarity	Month	Day	Year	Time	Time_as_Num	Discharge_cms	Velocity_m_s	Argo_Depth_m	Logger_Depth_m	Logger_Temp_C	DucksUnlimited_Temp	Discharge_Dir
1	1822	28/05/2014	IMG_1245	1	1	0	0	0	0	0	0	0	0	2	1	3	28	5	2014	10:00:00	0.41667	3.475	0.105	2.933	1.065	14.515	15.5	From_Lake
2	1823	28/05/2014	IMG_1246	1	1	0	0	0	0	0	0	0	0	2	1	3	28	5	2014	10:15:00	0.42708	4.61	0.079	2.932	1.064	14.579	15.6	From_Lake
3	1824	28/05/2014	IMG_1247	1	1	0	0	0	0	0	1	0	1	2	1	3	28	5	2014	10:30:00	0.4375	6.814	0.076	2.936	1.064	14.654	15.7	From_Lake
4	1825	28/05/2014	IMG_1248	1	1	0	0	0	0	0	0	0	0	2	1	3	28	5	2014	10:45:00	0.44792	7.547	0.076	2.943	1.063	14.695	15.7	From_Lake
5	1826	28/05/2014	IMG_1249	1	1	0	0	0	0	0	0	0	0	2	1	3	28	5	2014	11:00:00	0.45833	7.86	0.082	2.939	1.063	14.71	15.7	From_Lake
6	1827	28/05/2014	IMG_1250	1	1	0	0	0	0	0	0	0	0	2	1	3	28	5	2014	11:15:00	0.46875	8.655	0.103	2.948	1.064	14.741	15.7	From_Lake
7	1828	28/05/2014	IMG_1251	1	1	0	0	0	0	0	0	0	0	2	1	3	28	5	2014	11:30:00	0.47917	7.604	0.143	2.949	1.066	14.784	15.7	From_Lake
8	1829	28/05/2014	IMG_1252	1	1	0	0	0	0	0	0	0	0	2	1	3	28	5	2014	11:45:00	0.48958	7.577	0.157	2.944	1.066	14.816	15.8	From_Lake
9	1830	28/05/2014	IMG_1253	1	1	3	3	3	0	0	0	0	0	2	1	3	28	5	2014	12:00:00	0.5	7.117	0.163	2.941	1.067	14.884	15.8	From_Lake
10	1831	28/05/2014	IMG_1254	1	1	2	2	2	0	0	0	0	0	2	1	3	28	5	2014	12:15:00	0.51042	6.385	0.178	2.943	1.068	14.988	15.8	From_Lake
11	1832	28/05/2014	IMG_1255	1	1	3	3	3	0	0	0	0	0	2	1	3	28	5	2014	12:30:00	0.52083	6.471	0.158	2.944	1.069	15.102	15.8	From_Lake
12	1833	28/05/2014	IMG_1256	1	1	1	1	1	0	0	0	0	0	2	1	3	28	5	2014	12:45:00	0.53125	6.471	0.158	2.944	1.071	15.203	15.8	From_Lake
13	1834	28/05/2014	IMG_1257	1	1	1	1	1	0	0	0	0	0	2	1	3	28	5	2014	13:00:00	0.54167	5.983	0.149	2.944	1.073	15.279	15.7	From_Lake
14	1835	28/05/2014	IMG_1258	1	1	6	6	6	0	0	0	0	0	2	1	3	28	5	2014	13:15:00	0.55208	6.579	0.136	2.944	1.073	15.368	15.8	From_Lake
15	1836	28/05/2014	IMG_1259	1	1	6	6	6	0	0	0	0	0	2	1	3	28	5	2014	13:30:00	0.5625	6.254	0.137	2.945	1.073	15.443	15.9	From_Lake
16	1837	28/05/2014	IMG_1260	1	1	3	3	3	0	0	0	0	0	2	1	3	28	5	2014	13:45:00	0.57292	6.738	0.137	2.945	1.073	15.604	16	From_Lake
17	1838	28/05/2014	IMG_1261	1	1	6	6	6	0	0	0	0	0	2	1	3	28	5	2014	14:00:00	0.58333	6.733	0.128	2.945	1.074	15.59	16.1	From_Lake
18	1839	28/05/2014	IMG_1262	1	1	7	7	7	0	0	0	0	0	2	1	3	28	5	2014	14:15:00	0.59375	6.296	0.139	2.945	1.074	15.692	16.2	From_Lake
19	1840	28/05/2014	IMG_1263	1	1	15	15	15	0	0	0	0	0	2	1	3	28	5	2014	14:30:00	0.60417	5.372	0.133	2.945	1.073	15.785	16.3	From_Lake
20	1841	28/05/2014	IMG_1264	1	1	4	4	4	0	0	0	0	0	2	1	3	28	5	2014	14:45:00	0.61458	5.585	0.142	2.944	1.073	15.922	16.5	From_Lake
21	1842	28/05/2014	IMG_1265	1	1	12	12	12	0	0	0	0	0	2	1	2	28	5	2014	15:00:00	0.625	5.797	0.142	2.943	1.073	16.038	16.5	From_Lake
22	1843	28/05/2014	IMG_1266	1	1	14	14	14	0	0	0	0	0	2	1	2	28	5	2014	15:15:00	0.63542	4.962	0.134	2.942	1.073	16.13	16.6	From_Lake
23	1844	28/05/2014	IMG_1267	1	1	21	21	21	0	0	0	0	0	2	1	2	28	5	2014	15:30:00	0.64583	5.106	0.117	2.941	1.073	16.19	16.7	From_Lake
24	1845	28/05/2014	IMG_1268	1	1	18	18	18	0	0	0	0	0	2	1	2	28	5	2014	15:45:00	0.65625	4.76	0.121	2.94	1.072	16.284	16.8	From_Lake
25	1846	28/05/2014	IMG_1269	1	1	15	15	15	0	0	0	0	0	2	1	2	28	5	2014	16:00:00	0.66667	4.733	0.125	2.939	1.071	16.438	16.9	From_Lake
26	1847	28/05/2014	IMG_1270	1	1	26	26	26	0	0	0	0	0	2	1	2	28	5	2014	16:15:00	0.67708	4.726	0.11	2.94	1.069	16.556	17	From_Lake
27	1848	28/05/2014	IMG_1271	1	1	35	35	35	0	0	0	0	0	2	1	2	28	5	2014	16:30:00	0.6875	3.91	0.112	2.942	1.068	16.667	17.1	From_Lake
28	1849	28/05/2014	IMG_1272	1	1	36	36	36	0	0	0	0	0	2	1	2	28	5	2014	16:45:00	0.69792	2.967	0.106	2.944	1.066	16.786	17.2	From_Lake
29	1850	28/05/2014	IMG_1273	1	1	22	22	22	0	0	0	0	0	2	1	2	28	5	2014	17:00:00	0.70833	2.453	0.105	2.944	1.066	16.872	17.2	From_Lake
30	1851	28/05/2014	IMG_1274	1	1	50	50	50	0	0	0	0	0	2	1	2	28	5	2014	17:15:00	0.71875	1.692	0.105	2.942	1.066	16.952	17.3	From_Lake
31	1852	28/05/2014	IMG_1275	1	1	48	48	48	0	0	0	0	0	2	1	2	28	5	2014	17:30:00	0.72917	1.856	0.09	2.94	1.066	17.02	17.3	From_Lake
32	1853	28/05/2014	IMG_1276	1	1	42	42	42	0	0	0	0	0	2	1	2	28	5	2014	17:45:00	0.73958	1.531	0.073	2.942	1.067	17.057	17.4	From_Lake
33	1854	28/05/2014	IMG_1277	1	1	32	32	32	0	0	0	0	0	2	1	2	28	5	2014	18:00:00	0.75	2.182	0.063	2.941	1.069	17.1	17.4	From_Lake
34	1855	28/05/2014	IMG_1278	1	1	24	24	24	0	0	0	0	0	2	1	2	28	5	2014	18:15:00	0.76042	3.422	0.049	2.938	1.07	17.135	17.4	From_Lake
35	1856	28/05/2014	IMG_1279	1	1	22	22	22	0	0	0	0	0	2	1	2	28	5	2014	18:30:00	0.77083	4.447	0.052	2.939	1.071	17.217	17.5	From_Lake
36	1857	28/05/2014	IMG_1280	1	1	22	22	22	0	0	0	0	0	2	1	3	28	5	2014	18:45:00	0.78125	4.794	0.046	2.938	1.071	17.282	17.5	From_Lake
37	1858	28/05/2014	IMG_1281	1	1	11	11	11	0	0	0	0	0	2	1	3	28	5	2014	19:00:00	0.79167	4.954	0.058	2.941	1.071	17.347	17.6	From_Lake
38	1859	28/05/2014	IMG_1282	1	1	18	18	18	0	0	0	0	0	2	1	2	28	5	2014	19:15:00	0.80208	4.865	0.081	2.939	1.071	17.394	17.6	From_Lake
39	1860	28/05/2014	IMG_1283	1	1	26	26	26	0	0	0	0	0	2	1	2	28	5	2014	19:30:00	0.8125	4.396	0.1	2.939	1.069	17.429	17.7	From_Lake
40	1861	28/05/2014	IMG_1284	1	1	23	23	23	0	0	0	0	0	2	1	2	28	5	2014	19:45:00	0.82292	4.404	0.107	2.938	1.068	17.471	17.7	From_Lake
41	1862	28/05/2014	IMG_1285	1	1	35	35	35	0	0	0	0	0	2	1	2	28	5	2014	20:00:00	0.83333	3.645	0.11	2.929	1.068	17.484	17.7	From_Lake
