SortIt,ImageNo,ImageName,folder,Site,SiteNo,Side,SideNo,Date,Time,LFC,LFCC,DF,Pelicans,Grebes,Cormorant,Percent.Obstructed,Exposure,Image.Clarity,Water.Clarity,Month,Day,Year,Time,Date.Time,Discharge.cms,Velocity.m.s,Argo.Depth.m,Logger.Depth.m,Logger.Temp.C,DucksUnlimited.Temp,Camera.Height.cm,width.m,height.m,Area.m.sq,Correction.factor,LFCCR
1200,1822,IMG_1245,100RECNX,Waterhen,1,Lake,1,28/05/2014,10:00:00,0,0,0,0,0,0,0,2,1,3,28,5,2014,10:00:00,28/05/2014 10:00,3.475,0.105,2.933,1.065,14.515,15.5,3.10760065,2.403200811,1.802408377,4.331549273,1.0149,0
1201,1823,IMG_1246,100RECNX,Waterhen,1,Lake,1,28/05/2014,10:15:00,0,0,0,0,0,0,0,2,1,3,28,5,2014,10:15:00,28/05/2014 10:15,4.61,0.079,2.932,1.064,14.579,15.6,3.1085626,2.403944715,1.802966308,4.334231328,1.0143,0
1202,1824,IMG_1247,100RECNX,Waterhen,1,Lake,1,28/05/2014,10:30:00,0,0,0,0,1,0,0.7,2,1,3,28,5,2014,10:30:00,28/05/2014 10:30,6.814,0.076,2.936,1.064,14.654,15.7,3.1047148,2.400969096,1.800734584,4.323508087,1.0168,0
1203,1825,IMG_1248,100RECNX,Waterhen,1,Lake,1,28/05/2014,10:45:00,0,0,0,0,0,0,0,2,1,3,28,5,2014,10:45:00,28/05/2014 10:45,7.547,0.076,2.943,1.063,14.695,15.7,3.09798115,2.395761763,1.796829067,4.304774373,1.0212,0
1204,1826,IMG_1249,100RECNX,Waterhen,1,Lake,1,28/05/2014,11:00:00,0,0,0,0,0,0,0,2,1,3,28,5,2014,11:00:00,28/05/2014 11:00,7.86,0.082,2.939,1.063,14.71,15.7,3.10182895,2.398737382,1.799060791,4.315474372,1.0187,0
1205,1827,IMG_1250,100RECNX,Waterhen,1,Lake,1,28/05/2014,11:15:00,0,0,0,0,0,0,0,2,1,3,28,5,2014,11:15:00,28/05/2014 11:15,8.655,0.103,2.948,1.064,14.741,15.7,3.0931714,2.392042239,1.794039412,4.291418052,1.0244,0
1206,1828,IMG_1251,100RECNX,Waterhen,1,Lake,1,28/05/2014,11:30:00,0,0,0,0,0,0,0,2,1,3,28,5,2014,11:30:00,28/05/2014 11:30,7.604,0.143,2.949,1.066,14.784,15.7,3.09220945,2.391298334,1.793481481,4.288749278,1.025,0
1207,1829,IMG_1252,100RECNX,Waterhen,1,Lake,1,28/05/2014,11:45:00,0,0,0,0,0,0,0,2,1,3,28,5,2014,11:45:00,28/05/2014 11:45,7.577,0.157,2.944,1.066,14.816,15.8,3.0970192,2.395017858,1.796271136,4.302101448,1.0219,0
1208,1830,IMG_1253,100RECNX,Waterhen,1,Lake,1,28/05/2014,12:00:00,3,3,0,0,0,0,0,2,1,3,28,5,2014,12:00:00,28/05/2014 12:00,7.117,0.163,2.941,1.067,14.884,15.8,3.09990505,2.397249572,1.797944929,4.310122712,1.02,3
1209,1831,IMG_1254,100RECNX,Waterhen,1,Lake,1,28/05/2014,12:15:00,2,2,0,0,0,0,0,2,1,3,28,5,2014,12:15:00,28/05/2014 12:15,6.385,0.178,2.943,1.068,14.988,15.8,3.09798115,2.395761763,1.796829067,4.304774373,1.0212,2
1210,1832,IMG_1255,100RECNX,Waterhen,1,Lake,1,28/05/2014,12:30:00,3,3,0,0,0,0,0,2,1,3,28,5,2014,12:30:00,28/05/2014 12:30,6.471,0.158,2.944,1.069,15.102,15.8,3.0970192,2.395017858,1.796271136,4.302101448,1.0219,3
1211,1833,IMG_1256,100RECNX,Waterhen,1,Lake,1,28/05/2014,12:45:00,1,1,0,0,0,0,0,2,1,3,28,5,2014,12:45:00,28/05/2014 12:45,6.471,0.158,2.944,1.071,15.203,15.8,3.0970192,2.395017858,1.796271136,4.302101448,1.0219,1
1212,1834,IMG_1257,100RECNX,Waterhen,1,Lake,1,28/05/2014,13:00:00,1,1,0,0,0,0,0,2,1,3,28,5,2014,13:00:00,28/05/2014 13:00,5.983,0.149,2.944,1.073,15.279,15.7,3.0970192,2.395017858,1.796271136,4.302101448,1.0219,1
